,Disease,Year,Month,Count
931,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Aug.,2
932,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Aug.,0
933,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Aug.,0
934,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Aug.,1
935,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Aug.,0
936,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Aug.,448
937,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Aug.,344
938,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Aug.,0
939,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Aug.,0
940,"Babesiosis, Total",2016,Aug.,379
941,"Babesiosis, Confirmed",2016,Aug.,329
942,"Babesiosis, Probable",2016,Aug.,50
943,"Botulism, Total",2016,Aug.,12
944,"Botulism, Foodborne",2016,Aug.,1
945,"Botulism, Infant",2016,Aug.,11
946,"Botulism, Other (wound & unspecified)",2016,Aug.,0
947,Brucellosis,2016,Aug.,17
948,Campylobacteriosis,2016,Aug.,"5,907"
949,Chancroid,2016,Aug.,0
950,Chlamydia trachomatis infection,2016,Aug.,"129,334"
951,Cholera,2016,Aug.,2
952,Coccidioidomycosis,2016,Aug.,"1,002"
953,"Cryptosporidiosis, Total",2016,Aug.,"2,541"
954,"Cryptosporidiosis, Confirmed",2016,Aug.,"1,668"
955,"Cryptosporidiosis, Probable",2016,Aug.,873
956,Cyclosporiasis,2016,Aug.,136
957,"Dengue virus infections, Dengue",2016,Aug.,118
958,"Dengue virus infections, Dengue-like illness",2016,Aug.,3
959,"Dengue virus infections, Severe dengue",2016,Aug.,1
960,Diphtheria,2016,Aug.,0
961,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Aug.,468
962,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Aug.,154
963,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Aug.,5
964,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Aug.,30
965,Giardiasis,2016,Aug.,"1,619"
966,Gonorrhea,2016,Aug.,"39,106"
967,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Aug.,266
968,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Aug.,3
969,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Aug.,8
970,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Aug.,10
971,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Aug.,10
972,Hansen's disease,2016,Aug.,14
973,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Aug.,0
974,Hantavirus pulmonary syndrome,2016,Aug.,2
975,Hemolytic uremic syndrome post-diarrheal,2016,Aug.,41
976,"Hepatitis, A, acute",2016,Aug.,281
977,"Hepatitis, B, acute",2016,Aug.,254
978,"Hepatitis, B, perinatal infection",2016,Aug.,3
979,"Hepatitis, C, acute",2016,Aug.,211
980,Human immunodeficiency virus diagnoses,2016,Aug.,"3,460"
981,Influenza-associated pediatric mortality,2016,Aug.,0
982,"Invasive pneumococcal disease, All ages",2016,Aug.,593
983,"Invasive pneumococcal disease, All ages, Confirmed",2016,Aug.,590
984,"Invasive pneumococcal disease, All ages, Probable",2016,Aug.,3
985,"Invasive pneumococcal disease, Age <5 years",2016,Aug.,40
986,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Aug.,40
987,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Aug.,0
988,Legionellosis,2016,Aug.,688
989,Leptospirosis,2016,Aug.,10
990,Listeriosis,2016,Aug.,96
991,"Lyme disease, Total",2016,Aug.,"4,860"
992,"Lyme disease, Confirmed",2016,Aug.,"3,699"
993,"Lyme disease, Probable",2016,Aug.,"1,161"
994,Malaria,2016,Aug.,259
995,"Measles, Total",2016,Aug.,1
996,"Measles, Indigenous",2016,Aug.,0
997,"Measles, Imported",2016,Aug.,1
998,"Meningococcal disease, All serogroups",2016,Aug.,20
999,"Meningococcal disease, Serogroups ACWY",2016,Aug.,9
1000,"Meningococcal disease, Serogroup B",2016,Aug.,3
1001,"Meningococcal disease, Other serogroups",2016,Aug.,3
1002,"Meningococcal disease, Unknown serogroup",2016,Aug.,5
1003,Mumps,2016,Aug.,118
1004,Novel Influenza A virus infections,2016,Aug.,18
1005,Pertussis,2016,Aug.,"1,224"
1006,Plague,2016,Aug.,1
1007,"Poliomyelitis, paralytic",2016,Aug.,0
1008,"Poliovirus infection, nonparalytic",2016,Aug.,0
1009,Psittacosis,2016,Aug.,1
1010,"Q fever, Total",2016,Aug.,10
1011,"Q fever, Acute",2016,Aug.,7
1012,"Q fever, Chronic",2016,Aug.,3
1013,"Rabies, Animal",2016,Aug.,636
1014,"Rabies, Human",2016,Aug.,0
1015,Rubella,2016,Aug.,0
1016,"Rubella, congenital syndrome",2016,Aug.,0
1017,Salmonellosis,2016,Aug.,"6,544"
1018,Severe acute respiratory syndrome-associated coronavirus disease,2016,Aug.,0
1019,Shiga toxin-producing Escherichia coli,2016,Aug.,948
1020,Shigellosis,2016,Aug.,"1,650"
1021,Smallpox,2016,Aug.,0
1022,"Spotted fever rickettsiosis, Total",2016,Aug.,641
1023,"Spotted fever rickettsiosis, Confirmed",2016,Aug.,27
1024,"Spotted fever rickettsiosis, Probable",2016,Aug.,614
1025,Streptococcal toxic shock syndrome,2016,Aug.,13
1026,"Syphilis, Total, all stages",2016,Aug.,"6,856"
1027,"Syphilis, Congenital",2016,Aug.,59
1028,"Syphilis, Primary and secondary",2016,Aug.,"2,247"
1029,Tetanus,2016,Aug.,5
1030,Toxic shock syndrome (other than Streptococcal),2016,Aug.,2
1031,Trichinellosis,2016,Aug.,3
1032,Tuberculosis,2016,Aug.,853
1033,Tularemia,2016,Aug.,30
1034,Typhoid fever,2016,Aug.,48
1035,Vancomycin-intermediate Staphylococcus aureus,2016,Aug.,11
1036,Vancomycin-resistant Staphylococcus aureus,2016,Aug.,0
1037,Varicella morbidity,2016,Aug.,407
1038,Varicella mortality,2016,Aug.,1
1039,"Vibriosis, Total",2016,Aug.,229
1040,"Vibriosis, Confirmed",2016,Aug.,225
1041,"Vibriosis, Probable",2016,Aug.,4
1042,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Aug.,0
1043,"Viral hemorrhagic fevers, Ebola virus",2016,Aug.,0
1044,"Viral hemorrhagic fevers, Guanarito virus",2016,Aug.,0
1045,"Viral hemorrhagic fevers, Junin virus",2016,Aug.,0
1046,"Viral hemorrhagic fevers, Lassa virus",2016,Aug.,0
1047,"Viral hemorrhagic fevers, Lujo virus",2016,Aug.,0
1048,"Viral hemorrhagic fevers, Machupo virus",2016,Aug.,0
1049,"Viral hemorrhagic fevers, Marburg virus",2016,Aug.,0
1050,"Viral hemorrhagic fevers, Sabia virus",2016,Aug.,0
1051,Yellow fever,2016,Aug.,0
1052,"Zika virus, Zika virus disease, congenital",2016,Aug.,1
1053,"Zika virus, Zika virus disease, non-congenital",2016,Aug.,"1,001"
1054,"Zika virus, Zika virus infection, congenital",2016,Aug.,5
1055,"Zika virus, Zika virus infection, non-congenital",2016,Aug.,81
1056,Anthrax,2016,Sept.,0
1057,"Arboviral diseases, Chikungunya virus disease",2016,Sept.,32
1058,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Sept.,2
1059,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Sept.,0
1060,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Sept.,0
1061,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Sept.,2
1062,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Sept.,10
1063,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Sept.,0
1064,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Sept.,1
1065,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Sept.,1
1066,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Sept.,2
1067,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Sept.,0
1068,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Sept.,383
1069,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Sept.,194
1070,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Sept.,0
1071,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Sept.,0
1072,"Babesiosis, Total",2016,Sept.,145
1073,"Babesiosis, Confirmed",2016,Sept.,119
1074,"Babesiosis, Probable",2016,Sept.,26
1075,"Botulism, Total",2016,Sept.,17
1076,"Botulism, Foodborne",2016,Sept.,3
1077,"Botulism, Infant",2016,Sept.,11
1078,"Botulism, Other (wound & unspecified)",2016,Sept.,3
1079,Brucellosis,2016,Sept.,11
1080,Campylobacteriosis,2016,Sept.,"4,885"
1081,Chancroid,2016,Sept.,3
1082,Chlamydia trachomatis infection,2016,Sept.,"124,265"
1083,Cholera,2016,Sept.,1
1084,Coccidioidomycosis,2016,Sept.,"1,038"
1085,"Cryptosporidiosis, Total",2016,Sept.,"2,423"
1086,"Cryptosporidiosis, Confirmed",2016,Sept.,"1,619"
1087,"Cryptosporidiosis, Probable",2016,Sept.,804
1088,Cyclosporiasis,2016,Sept.,53
1089,"Dengue virus infections, Dengue",2016,Sept.,87
1090,"Dengue virus infections, Dengue-like illness",2016,Sept.,1
1091,"Dengue virus infections, Severe dengue",2016,Sept.,1
1092,Diphtheria,2016,Sept.,0
1093,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Sept.,205
1094,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Sept.,137
1095,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Sept.,1
1096,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Sept.,11
1097,Giardiasis,2016,Sept.,"1,607"
1098,Gonorrhea,2016,Sept.,"38,406"
1099,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Sept.,289
1100,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Sept.,3
1101,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Sept.,13
1102,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Sept.,16
1103,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Sept.,6
1104,Hansen's disease,2016,Sept.,6
1105,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Sept.,0
1106,Hantavirus pulmonary syndrome,2016,Sept.,1
1107,Hemolytic uremic syndrome post-diarrheal,2016,Sept.,22
1108,"Hepatitis, A, acute",2016,Sept.,284
1109,"Hepatitis, B, acute",2016,Sept.,248
1110,"Hepatitis, B, perinatal infection",2016,Sept.,1
1111,"Hepatitis, C, acute",2016,Sept.,209
1112,Human immunodeficiency virus diagnoses,2016,Sept.,"2,911"
1113,Influenza-associated pediatric mortality,2016,Sept.,0
1114,"Invasive pneumococcal disease, All ages",2016,Sept.,766
1115,"Invasive pneumococcal disease, All ages, Confirmed",2016,Sept.,765
1116,"Invasive pneumococcal disease, All ages, Probable",2016,Sept.,1
1117,"Invasive pneumococcal disease, Age <5 years",2016,Sept.,63
1118,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Sept.,63
1119,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Sept.,0
1120,Legionellosis,2016,Sept.,736
1121,Leptospirosis,2016,Sept.,9
1122,Listeriosis,2016,Sept.,99
1123,"Lyme disease, Total",2016,Sept.,"3,108"
1124,"Lyme disease, Confirmed",2016,Sept.,"2,179"
1125,"Lyme disease, Probable",2016,Sept.,929
1126,Malaria,2016,Sept.,226
1127,"Measles, Total",2016,Sept.,2
1128,"Measles, Indigenous",2016,Sept.,0
1129,"Measles, Imported",2016,Sept.,2
1130,"Meningococcal disease, All serogroups",2016,Sept.,19
1131,"Meningococcal disease, Serogroups ACWY",2016,Sept.,8
1132,"Meningococcal disease, Serogroup B",2016,Sept.,6
1133,"Meningococcal disease, Other serogroups",2016,Sept.,1
1134,"Meningococcal disease, Unknown serogroup",2016,Sept.,4
1135,Mumps,2016,Sept.,405
1136,Novel Influenza A virus infections,2016,Sept.,0
1137,Pertussis,2016,Sept.,"1,087"
1138,Plague,2016,Sept.,1
1139,"Poliomyelitis, paralytic",2016,Sept.,0
1140,"Poliovirus infection, nonparalytic",2016,Sept.,0
1141,Psittacosis,2016,Sept.,3
1142,"Q fever, Total",2016,Sept.,12
1143,"Q fever, Acute",2016,Sept.,8
1144,"Q fever, Chronic",2016,Sept.,4
1145,"Rabies, Animal",2016,Sept.,485
1146,"Rabies, Human",2016,Sept.,0
1147,Rubella,2016,Sept.,0
1148,"Rubella, congenital syndrome",2016,Sept.,0
1149,Salmonellosis,2016,Sept.,"6,268"
1150,Severe acute respiratory syndrome-associated coronavirus disease,2016,Sept.,0
1151,Shiga toxin-producing Escherichia coli,2016,Sept.,782
1152,Shigellosis,2016,Sept.,"1,466"
1153,Smallpox,2016,Sept.,0
1154,"Spotted fever rickettsiosis, Total",2016,Sept.,499
1155,"Spotted fever rickettsiosis, Confirmed",2016,Sept.,14
1156,"Spotted fever rickettsiosis, Probable",2016,Sept.,485
1157,Streptococcal toxic shock syndrome,2016,Sept.,12
1158,"Syphilis, Total, all stages",2016,Sept.,"6,642"
1159,"Syphilis, Congenital",2016,Sept.,52
1160,"Syphilis, Primary and secondary",2016,Sept.,"2,128"
1161,Tetanus,2016,Sept.,3
1162,Toxic shock syndrome (other than Streptococcal),2016,Sept.,4
1163,Trichinellosis,2016,Sept.,3
1164,Tuberculosis,2016,Sept.,713
1165,Tularemia,2016,Sept.,19
1166,Typhoid fever,2016,Sept.,43
1167,Vancomycin-intermediate Staphylococcus aureus,2016,Sept.,8
1168,Vancomycin-resistant Staphylococcus aureus,2016,Sept.,0
1169,Varicella morbidity,2016,Sept.,683
1170,Varicella mortality,2016,Sept.,1
1171,"Vibriosis, Total",2016,Sept.,165
1172,"Vibriosis, Confirmed",2016,Sept.,161
1173,"Vibriosis, Probable",2016,Sept.,4
1174,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Sept.,0
1175,"Viral hemorrhagic fevers, Ebola virus",2016,Sept.,0
1176,"Viral hemorrhagic fevers, Guanarito virus",2016,Sept.,0
1177,"Viral hemorrhagic fevers, Junin virus",2016,Sept.,0
1178,"Viral hemorrhagic fevers, Lassa virus",2016,Sept.,0
1179,"Viral hemorrhagic fevers, Lujo virus",2016,Sept.,0
1180,"Viral hemorrhagic fevers, Machupo virus",2016,Sept.,0
1181,"Viral hemorrhagic fevers, Marburg virus",2016,Sept.,0
1182,"Viral hemorrhagic fevers, Sabia virus",2016,Sept.,0
1183,Yellow fever,2016,Sept.,0
1184,"Zika virus, Zika virus disease, congenital",2016,Sept.,4
1185,"Zika virus, Zika virus disease, non-congenital",2016,Sept.,520
1186,"Zika virus, Zika virus infection, congenital",2016,Sept.,4
1187,"Zika virus, Zika virus infection, non-congenital",2016,Sept.,94
1188,Anthrax,2016,Oct.,0
1189,"Arboviral diseases, Chikungunya virus disease",2016,Oct.,25
1190,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Oct.,2
1191,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Oct.,0
1192,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Oct.,1
1193,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Oct.,1
1194,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Oct.,4
1195,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Oct.,0
1196,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Oct.,4
1197,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Oct.,0
1198,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Oct.,0
1199,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Oct.,0
1200,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Oct.,174
1201,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Oct.,78
1202,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Oct.,0
1203,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Oct.,0
1204,"Babesiosis, Total",2016,Oct.,117
1205,"Babesiosis, Confirmed",2016,Oct.,90
1206,"Babesiosis, Probable",2016,Oct.,27
1207,"Botulism, Total",2016,Oct.,16
1208,"Botulism, Foodborne",2016,Oct.,2
1209,"Botulism, Infant",2016,Oct.,12
1210,"Botulism, Other (wound & unspecified)",2016,Oct.,2
1211,Brucellosis,2016,Oct.,12
1212,Campylobacteriosis,2016,Oct.,"5,665"
1213,Chancroid,2016,Oct.,0
1214,Chlamydia trachomatis infection,2016,Oct.,"155,523"
1215,Cholera,2016,Oct.,2
1216,Coccidioidomycosis,2016,Oct.,"1,646"
1217,"Cryptosporidiosis, Total",2016,Oct.,"1,771"
1218,"Cryptosporidiosis, Confirmed",2016,Oct.,"1,182"
1219,"Cryptosporidiosis, Probable",2016,Oct.,589
1220,Cyclosporiasis,2016,Oct.,21
1221,"Dengue virus infections, Dengue",2016,Oct.,54
1222,"Dengue virus infections, Dengue-like illness",2016,Oct.,1
1223,"Dengue virus infections, Severe dengue",2016,Oct.,1
1224,Diphtheria,2016,Oct.,0
1225,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Oct.,300
1226,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Oct.,85
1227,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Oct.,0
1228,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Oct.,18
1229,Giardiasis,2016,Oct.,"1,712"
1230,Gonorrhea,2016,Oct.,"48,002"
1231,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Oct.,390
1232,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Oct.,3
1233,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Oct.,17
1234,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Oct.,8
1235,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Oct.,19
1236,Hansen's disease,2016,Oct.,11
1237,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Oct.,0
1238,Hantavirus pulmonary syndrome,2016,Oct.,1
1239,Hemolytic uremic syndrome post-diarrheal,2016,Oct.,43
1240,"Hepatitis, A, acute",2016,Oct.,204
1241,"Hepatitis, B, acute",2016,Oct.,281
1242,"Hepatitis, B, perinatal infection",2016,Oct.,2
1243,"Hepatitis, C, acute",2016,Oct.,239
1244,Human immunodeficiency virus diagnoses,2016,Oct.,"2,609"
1245,Influenza-associated pediatric mortality,2016,Oct.,2
1246,"Invasive pneumococcal disease, All ages",2016,Oct.,"1,360"
1247,"Invasive pneumococcal disease, All ages, Confirmed",2016,Oct.,"1,356"
1248,"Invasive pneumococcal disease, All ages, Probable",2016,Oct.,4
1249,"Invasive pneumococcal disease, Age <5 years",2016,Oct.,94
1250,"Invasive pneumococcal disease, Age <5 years, Confirmed",2016,Oct.,92
1251,"Invasive pneumococcal disease, Age <5 years, Probable",2016,Oct.,2
1252,Legionellosis,2016,Oct.,876
1253,Leptospirosis,2016,Oct.,11
1254,Listeriosis,2016,Oct.,81
1255,"Lyme disease, Total",2016,Oct.,"2,954"
1256,"Lyme disease, Confirmed",2016,Oct.,"2,047"
1257,"Lyme disease, Probable",2016,Oct.,907
1258,Malaria,2016,Oct.,211
1259,"Measles, Total",2016,Oct.,2
1260,"Measles, Indigenous",2016,Oct.,1
1261,"Measles, Imported",2016,Oct.,1
1262,"Meningococcal disease, All serogroups",2016,Oct.,27
1263,"Meningococcal disease, Serogroups ACWY",2016,Oct.,11
1264,"Meningococcal disease, Serogroup B",2016,Oct.,7
1265,"Meningococcal disease, Other serogroups",2016,Oct.,1
1266,"Meningococcal disease, Unknown serogroup",2016,Oct.,8
1267,Mumps,2016,Oct.,859
1268,Novel Influenza A virus infections,2016,Oct.,0
1269,Pertussis,2016,Oct.,"1,378"
1270,Plague,2016,Oct.,0
1271,"Poliomyelitis, paralytic",2016,Oct.,0
1272,"Poliovirus infection, nonparalytic",2016,Oct.,0
1273,Psittacosis,2016,Oct.,1
1274,"Q fever, Total",2016,Oct.,16
1275,"Q fever, Acute",2016,Oct.,13
1276,"Q fever, Chronic",2016,Oct.,3
1277,"Rabies, Animal",2016,Oct.,374
1278,"Rabies, Human",2016,Oct.,0
1279,Rubella,2016,Oct.,0
1280,"Rubella, congenital syndrome",2016,Oct.,0
1281,Salmonellosis,2016,Oct.,"6,495"
1282,Severe acute respiratory syndrome-associated coronavirus disease,2016,Oct.,0
1283,Shiga toxin-producing Escherichia coli,2016,Oct.,842
1284,Shigellosis,2016,Oct.,"1,949"
1285,Smallpox,2016,Oct.,0
1286,"Spotted fever rickettsiosis, Total",2016,Oct.,388
1287,"Spotted fever rickettsiosis, Confirmed",2016,Oct.,12
1288,"Spotted fever rickettsiosis, Probable",2016,Oct.,376
1289,Streptococcal toxic shock syndrome,2016,Oct.,14
1290,"Syphilis, Total, all stages",2016,Oct.,"8,662"
1291,"Syphilis, Congenital",2016,Oct.,59
1292,"Syphilis, Primary and secondary",2016,Oct.,"2,726"
1293,Tetanus,2016,Oct.,3
1294,Toxic shock syndrome (other than Streptococcal),2016,Oct.,2
1295,Trichinellosis,2016,Oct.,4
1296,Tuberculosis,2016,Oct.,803
1297,Tularemia,2016,Oct.,20
1298,Typhoid fever,2016,Oct.,22
1299,Vancomycin-intermediate Staphylococcus aureus,2016,Oct.,7
1300,Vancomycin-resistant Staphylococcus aureus,2016,Oct.,0
1301,Varicella morbidity,2016,Oct.,827
1302,Varicella mortality,2016,Oct.,0
1303,"Vibriosis, Total",2016,Oct.,137
1304,"Vibriosis, Confirmed",2016,Oct.,132
1305,"Vibriosis, Probable",2016,Oct.,5
1306,"Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus",2016,Oct.,0
1307,"Viral hemorrhagic fevers, Ebola virus",2016,Oct.,0
1308,"Viral hemorrhagic fevers, Guanarito virus",2016,Oct.,0
1309,"Viral hemorrhagic fevers, Junin virus",2016,Oct.,0
1310,"Viral hemorrhagic fevers, Lassa virus",2016,Oct.,0
1311,"Viral hemorrhagic fevers, Lujo virus",2016,Oct.,0
1312,"Viral hemorrhagic fevers, Machupo virus",2016,Oct.,0
1313,"Viral hemorrhagic fevers, Marburg virus",2016,Oct.,0
1314,"Viral hemorrhagic fevers, Sabia virus",2016,Oct.,0
1315,Yellow fever,2016,Oct.,0
1316,"Zika virus, Zika virus disease, congenital",2016,Oct.,7
1317,"Zika virus, Zika virus disease, non-congenital",2016,Oct.,378
1318,"Zika virus, Zika virus infection, congenital",2016,Oct.,12
1319,"Zika virus, Zika virus infection, non-congenital",2016,Oct.,141
1320,Anthrax,2016,Nov.,0
1321,"Arboviral diseases, Chikungunya virus disease",2016,Nov.,25
1322,"Arboviral diseases, Eastern equine encephalitis virus disease, Neuroinvasive",2016,Nov.,0
1323,"Arboviral diseases, Eastern equine encephalitis virus disease, Non-neuroinvasive",2016,Nov.,0
1324,"Arboviral diseases, Jamestown Canyon  virus disease, Neuroinvasive",2016,Nov.,2
1325,"Arboviral diseases, Jamestown Canyon  virus disease, Non-neuroinvasive",2016,Nov.,0
1326,"Arboviral diseases, La Crosse  virus disease, Neuroinvasive",2016,Nov.,2
1327,"Arboviral diseases, La Crosse  virus disease, Non-neuroinvasive",2016,Nov.,0
1328,"Arboviral diseases, Powassan virus disease, Neuroinvasive",2016,Nov.,5
1329,"Arboviral diseases, Powassan virus disease, Non-neuroinvasive",2016,Nov.,0
1330,"Arboviral diseases, St. Louis encephalitis virus disease, Neuroinvasive",2016,Nov.,0
1331,"Arboviral diseases, St. Louis encephalitis virus disease, Non-neuroinvasive",2016,Nov.,0
1332,"Arboviral diseases, West Nile virus disease, Neuroinvasive",2016,Nov.,64
1333,"Arboviral diseases, West Nile virus disease, Non-neuroinvasive",2016,Nov.,38
1334,"Arboviral diseases, Western equine encephalitis virus disease, Neuroinvasive",2016,Nov.,0
1335,"Arboviral diseases, Western equine encephalitis virus disease, Non-neuroinvasive",2016,Nov.,0
1336,"Babesiosis, Total",2016,Nov.,57
1337,"Babesiosis, Confirmed",2016,Nov.,39
1338,"Babesiosis, Probable",2016,Nov.,18
1339,"Botulism, Total",2016,Nov.,17
1340,"Botulism, Foodborne",2016,Nov.,0
1341,"Botulism, Infant",2016,Nov.,15
1342,"Botulism, Other (wound & unspecified)",2016,Nov.,2
1343,Brucellosis,2016,Nov.,5
1344,Campylobacteriosis,2016,Nov.,"4,097"
1345,Chancroid,2016,Nov.,0
1346,Chlamydia trachomatis infection,2016,Nov.,"117,487"
1347,Cholera,2016,Nov.,0
1348,Coccidioidomycosis,2016,Nov.,"1,222"
1349,"Cryptosporidiosis, Total",2016,Nov.,846
1350,"Cryptosporidiosis, Confirmed",2016,Nov.,546
1351,"Cryptosporidiosis, Probable",2016,Nov.,300
1352,Cyclosporiasis,2016,Nov.,14
1353,"Dengue virus infections, Dengue",2016,Nov.,35
1354,"Dengue virus infections, Dengue-like illness",2016,Nov.,3
1355,"Dengue virus infections, Severe dengue",2016,Nov.,0
1356,Diphtheria,2016,Nov.,0
1357,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection",2016,Nov.,414
1358,"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",2016,Nov.,31
1359,"Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection",2016,Nov.,0
1360,"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",2016,Nov.,11
1361,Giardiasis,2016,Nov.,"1,055"
1362,Gonorrhea,2016,Nov.,"36,763"
1363,"Haemophilus influenzae, invasive disease, All ages, all serotypes",2016,Nov.,360
1364,"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b",2016,Nov.,2
1365,"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype",2016,Nov.,9
1366,"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable",2016,Nov.,13
1367,"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype",2016,Nov.,22
1368,Hansen's disease,2016,Nov.,3
1369,"Hantavirus infection, non-hantavirus pulmonary syndrome",2016,Nov.,1
1370,Hantavirus pulmonary syndrome,2016,Nov.,4
1371,Hemolytic uremic syndrome post-diarrheal,2016,Nov.,26
1372,"Hepatitis, A, acute",2016,Nov.,106
1373,"Hepatitis, B, acute",2016,Nov.,225
1374,"Hepatitis, B, perinatal infection",2016,Nov.,4
1375,"Hepatitis, C, acute",2016,Nov.,165
1376,Human immunodeficiency virus diagnoses,2016,Nov.,"1,847"
1377,Influenza-associated pediatric mortality,2016,Nov.,0
1378,"Invasive pneumococcal disease, All ages",2016,Nov.,"1,320"
1379,"Invasive pneumococcal disease, All ages, Confirmed",2016,Nov.,"1,319"
